Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years
2021-06-18,34.61,27.40575396825397,25.22021693121693,23.467373015873015
2021-06-21,34.74,27.416396825396824,25.229216931216932,23.472567460317457
2021-06-22,34.57,27.42701587301587,25.238190476190475,23.477531746031744
2021-06-23,34.38,27.43753174603175,25.2468835978836,23.482373015873016
2021-06-24,34.61,27.44820634920635,25.255650793650794,23.487400793650792
2021-06-25,34.76,27.458277777777777,25.26442328042328,23.4925
2021-06-28,34.65,27.46800793650793,25.273126984126982,23.497603174603174
2021-06-29,34.51,27.4774126984127,25.28174074074074,23.50272222222222
2021-06-30,33.71,27.486158730158728,25.290021164021162,23.507623015873016
2021-07-01,33.63,27.494912698412694,25.298333333333332,23.51255952380952
2021-07-02,33.71,27.503690476190478,25.306761904761903,23.51773015873016
2021-07-05,33.95,27.51257142857143,25.31538624338624,23.523035714285715
2021-07-06,33.92,27.521420634920634,25.324084656084658,23.52843253968254
2021-07-07,34.06,27.530428571428576,25.332947089947087,23.53374603174603
2021-07-08,33.72,27.539182539682535,25.34167195767196,23.53892857142857
2021-07-09,33.64,27.54785714285714,25.35025396825397,23.544099206349205
2021-07-12,33.57,27.556626984126982,25.358619047619047,23.54920238095238
2021-07-13,33.83,27.565674603174603,25.367074074074075,23.554531746031746
2021-07-14,33.92,27.57492857142857,25.375703703703703,23.55981746031746
2021-07-15,34.07,27.58430158730159,25.384597883597884,23.565246031746035
2021-07-16,33.95,27.59336507936508,25.393190476190476,23.570718253968252
2021-07-19,33.59,27.602285714285713,25.401407407407408,23.57603968253968
2021-07-20,33.19,27.610825396825398,25.40947619047619,23.581194444444446
2021-07-22,33.58,27.61952380952381,25.417703703703705,23.586448412698413
2021-07-23,33.65,27.6283253968254,25.425915343915342,23.591892857142856
2021-07-26,33.47,27.637015873015873,25.43389947089947,23.597277777777776
2021-07-27,32.67,27.644928571428572,25.44139153439153,23.602416666666667
2021-07-28,32.11,27.652793650793654,25.448613756613756,23.607242063492063
2021-07-29,32.23,27.660738095238095,25.455962962962964,23.611992063492064
2021-07-30,32.14,27.668539682539684,25.46313756613757,23.616710317460317
2021-08-02,32.38,27.67636507936508,25.470439153439152,23.621412698412698
2021-08-03,32.5,27.684103174603177,25.47763492063492,23.626115079365082
2021-08-04,32.59,27.691825396825394,25.48493121693122,23.630916666666664
2021-08-05,31.8,27.6988253968254,25.491846560846557,23.635452380952383
2021-08-06,31.55,27.705706349206345,25.498740740740743,23.63986507936508
2021-08-09,31.57,27.712595238095233,25.505751322751323,23.64425
2021-08-10,31.36,27.719349206349204,25.51267724867725,23.648595238095236
2021-08-11,31.34,27.72576984126984,25.519613756613758,23.652940476190476
2021-08-12,31.24,27.73201587301587,25.526375661375663,23.65729761904762
2021-08-13,31.55,27.73850793650794,25.533380952380952,23.661781746031746
2021-08-16,30.49,27.744063492063496,25.539656084656084,23.66582142857143
2021-08-17,30.3,27.749515873015877,25.54581481481481,23.66986111111111
2021-08-18,30.21,27.754968253968254,25.551952380952383,23.673940476190477
2021-08-20,30.0,27.760214285714287,25.55796296296296,23.67798015873016
2021-08-23,30.08,27.765444444444444,25.56395767195767,23.682210317460317
2021-08-24,30.31,27.77097619047619,25.570121693121692,23.686507936507937
2021-08-25,30.33,27.776452380952378,25.576275132275136,23.690821428571425
2021-08-26,30.33,27.781722222222225,25.582433862433863,23.695075396825395
2021-08-27,30.46,27.78719841269841,25.58878306878307,23.69915873015873
2021-08-30,30.87,27.792944444444444,25.59536507936508,23.703321428571428
2021-08-31,31.24,27.798936507936507,25.602174603174603,23.707607142857142
2021-09-01,31.14,27.804904761904762,25.608978835978835,23.711769841269838
2021-09-02,31.43,27.81111111111111,25.615915343915344,23.715980158730158
2021-09-03,31.58,27.817460317460316,25.6229417989418,23.720277777777778
2021-09-06,31.69,27.82407142857143,25.6300582010582,23.724587301587302
2021-09-07,31.65,27.830634920634925,25.636989417989415,23.728908730158732
2021-09-08,31.64,27.836904761904762,25.643973544973544,23.733234126984126
2021-09-09,31.67,27.84313492063492,25.65084656084656,23.737420634920635
2021-09-13,31.64,27.8494126984127,25.657730158730157,23.741694444444445
2021-09-14,31.69,27.85596031746032,25.66473544973545,23.746067460317462
2021-09-15,31.94,27.862666666666666,25.671925925925926,23.750690476190474
2021-09-16,32.12,27.86934126984127,25.679195767195765,23.755297619047617
2021-09-17,32.05,27.87602380952381,25.686391534391532,23.759861111111114
2021-09-20,31.7,27.882468253968256,25.693380952380952,23.764325396825395
2021-09-21,32.0,27.889047619047616,25.700656084656085,23.76892857142857
2021-09-22,31.98,27.89561904761905,25.708132275132275,23.77345634920635
2021-09-23,32.48,27.902674603174606,25.71588888888889,23.77827380952381
2021-09-24,32.53,27.90965873015873,25.723687830687833,23.783146825396823
2021-09-27,32.52,27.91659523809524,25.731555555555556,23.78788888888889
2021-09-28,32.32,27.9235,25.739291005291,23.792496031746033
2021-09-29,32.26,27.930452380952378,25.747185185185185,23.79727380952381
2021-09-30,32.11,27.937206349206345,25.75499470899471,23.80204365079365
2021-10-01,31.94,27.943531746031745,25.76268253968254,23.806837301587304
2021-10-04,32.24,27.95,25.770661375661376,23.811789682539683
2021-10-05,32.48,27.95668253968254,25.778719576719578,23.81681746031746
2021-10-06,32.15,27.96303174603175,25.786608465608463,23.82179761904762
2021-10-07,32.42,27.969301587301587,25.79462962962963,23.82695634920635
2021-10-08,32.61,27.97577777777778,25.802719576719575,23.832281746031747
2021-10-11,32.7,27.982253968253968,25.810978835978837,23.837813492063493
2021-10-12,32.71,27.988920634920635,25.819174603174602,23.84347619047619
2021-10-13,33.02,27.996166666666664,25.827502645502644,23.849341269841272
2021-10-14,33.34,28.003642857142854,25.83583597883598,23.855206349206348
2021-10-18,33.52,28.011222222222223,25.844264550264548,23.861178571428574
2021-10-19,33.28,28.018531746031744,25.852656084656083,23.867146825396826
2021-10-20,32.99,28.02554761904762,25.8609417989418,23.873051587301585
2021-10-21,32.82,28.0325,25.869089947089947,23.878833333333333
2021-10-22,32.7,28.03931746031746,25.87715343915344,23.88472619047619
2021-10-25,32.48,28.04577777777778,25.88504232804233,23.890674603174602
2021-10-26,32.32,28.05219047619048,25.892793650793653,23.896484126984127
2021-10-27,32.2,28.058746031746036,25.900560846560847,23.902170634920637
2021-10-28,31.4,28.06469841269841,25.907793650793653,23.90762698412698
2021-10-29,30.59,28.06995238095238,25.914550264550265,23.912833333333335
2021-11-01,31.02,28.075912698412694,25.92142857142857,23.91834126984127
2021-11-02,30.88,28.08184920634921,25.928042328042327,23.92354761904762
2021-11-03,30.92,28.0875,25.934661375661374,23.928654761904763
2021-11-04,31.07,28.093150793650796,25.941396825396826,23.933765873015876
2021-11-08,31.24,28.099349206349206,25.948216931216933,23.93897619047619
2021-11-09,31.01,28.105293650793648,25.954952380952378,23.944027777777777
2021-11-10,30.98,28.111238095238097,25.961656084656084,23.94898015873016
2021-11-11,30.52,28.11693650793651,25.968095238095238,23.953710317460317
2021-11-12,30.92,28.123095238095235,25.97473015873016,23.958734126984126
2021-11-15,30.94,28.129412698412697,25.98143915343915,23.963924603174604
2021-11-16,29.55,28.134611111111106,25.987396825396825,23.968571428571426
2021-11-17,29.38,28.1395,25.99326455026455,23.97304761904762
2021-11-18,29.17,28.144119047619046,25.99888888888889,23.977349206349206
2021-11-22,28.6,28.14819841269841,26.00420105820106,23.981412698412697
2021-11-23,28.74,28.152571428571434,26.009571428571427,23.985607142857145
2021-11-24,28.6,28.156801587301587,26.01480423280423,23.98959126984127
2021-11-25,28.79,28.16121428571429,26.020068783068783,23.99365873015873
2021-11-26,27.95,28.16490476190476,26.02487830687831,23.997694444444445
2021-11-29,28.0,28.168650793650794,26.02968783068783,24.001829365079367
2021-11-30,27.88,28.172253968253962,26.034386243386244,24.005964285714285
2021-12-01,28.18,28.176119047619043,26.039269841269842,24.01002380952381
2021-12-02,28.57,28.18029365079365,26.044417989417987,24.014273809523807
2021-12-03,28.24,28.184444444444445,26.049391534391532,24.01829365079365
2021-12-06,27.76,28.188277777777774,26.053962962962963,24.02222619047619
2021-12-07,28.19,28.192611111111113,26.05876190476191,24.026464285714287
2021-12-08,28.68,28.19738095238095,26.063846560846564,24.031007936507937
2021-12-09,28.75,28.20228571428571,26.069031746031747,24.035607142857145
2021-12-10,28.74,28.20725396825397,26.074296296296296,24.040007936507937
2021-12-13,28.51,28.211865079365076,26.07930687830688,24.04416666666667
2021-12-14,28.44,28.21696031746032,26.08422751322751,24.048305555555558
2021-12-15,28.26,28.222428571428566,26.0890582010582,24.052206349206347
2021-12-16,28.31,28.2277380952381,26.093878306878306,24.05615873015873
2021-12-17,27.88,28.23280952380952,26.098555555555556,24.05986111111111
2021-12-20,27.27,28.23746031746032,26.1029417989418,24.06334126984127
2021-12-21,27.52,28.242484126984127,26.10751322751323,24.067119047619048
