Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years,1.5sd_5SMA_POS,2sd_5SMA_POS,3sd_5SMA_POS,1.5sd_5SMA_NEG,2sd_5SMA_NEG,3sd_5SMA_NEG,1.5sd_7_5_SMA_POS,2sd_7_5SMA_POS,3sd_7_5SMA_POS,1.5sd_7_5SMA_NEG,2sd_7_5SMA_NEG,3sd_7_5SMA_NEG,1.5sd_10_SMA_POS,2sd_10SMA_POS,3sd_10SMA_POS,1.5sd_10SMA_NEG,2sd_10SMA_NEG,3sd_10SMA_NEG,signals
2000-05-31,22.96,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,22.46,,,,,,,,,,,,,,,,,,,,,,
2000-06-02,23.13,,,,,,,,,,,,,,,,,,,,,,
2000-06-05,23.38,,,,,,,,,,,,,,,,,,,,,,
2000-06-06,23.67,,,,,,,,,,,,,,,,,,,,,,
2000-06-07,23.7,,,,,,,,,,,,,,,,,,,,,,
2000-06-08,24.25,,,,,,,,,,,,,,,,,,,,,,
2000-06-09,24.31,,,,,,,,,,,,,,,,,,,,,,
2000-06-12,23.87,,,,,,,,,,,,,,,,,,,,,,
2000-06-13,23.74,,,,,,,,,,,,,,,,,,,,,,
2000-06-14,23.79,,,,,,,,,,,,,,,,,,,,,,
2000-06-15,23.95,,,,,,,,,,,,,,,,,,,,,,
2000-06-16,24.48,,,,,,,,,,,,,,,,,,,,,,
2000-06-19,24.84,,,,,,,,,,,,,,,,,,,,,,
2000-06-20,24.98,,,,,,,,,,,,,,,,,,,,,,
2000-06-21,24.45,,,,,,,,,,,,,,,,,,,,,,
2000-06-22,24.67,,,,,,,,,,,,,,,,,,,,,,
2000-06-23,22.95,,,,,,,,,,,,,,,,,,,,,,
2000-06-26,22.63,,,,,,,,,,,,,,,,,,,,,,
2000-06-27,22.67,,,,,,,,,,,,,,,,,,,,,,
2000-06-28,22.91,,,,,,,,,,,,,,,,,,,,,,
2000-06-29,23.26,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,22.94,,,,,,,,,,,,,,,,,,,,,,
2000-07-03,23.31,,,,,,,,,,,,,,,,,,,,,,
2000-07-04,23.56,,,,,,,,,,,,,,,,,,,,,,
2000-07-05,23.5,,,,,,,,,,,,,,,,,,,,,,
2000-07-06,23.35,,,,,,,,,,,,,,,,,,,,,,
2000-07-07,23.37,,,,,,,,,,,,,,,,,,,,,,
2000-07-10,23.24,,,,,,,,,,,,,,,,,,,,,,
2000-07-11,23.38,,,,,,,,,,,,,,,,,,,,,,
2000-07-12,23.61,,,,,,,,,,,,,,,,,,,,,,
2000-07-13,23.44,,,,,,,,,,,,,,,,,,,,,,
2000-07-14,23.25,,,,,,,,,,,,,,,,,,,,,,
2000-07-17,22.78,,,,,,,,,,,,,,,,,,,,,,
2000-07-18,22.53,,,,,,,,,,,,,,,,,,,,,,
2000-07-19,22.11,,,,,,,,,,,,,,,,,,,,,,
2000-07-20,21.93,,,,,,,,,,,,,,,,,,,,,,
2000-07-21,21.51,,,,,,,,,,,,,,,,,,,,,,
2000-07-24,20.47,,,,,,,,,,,,,,,,,,,,,,
2000-07-25,20.96,,,,,,,,,,,,,,,,,,,,,,
2000-07-26,20.48,,,,,,,,,,,,,,,,,,,,,,
2000-07-27,20.79,,,,,,,,,,,,,,,,,,,,,,
2000-07-28,20.72,,,,,,,,,,,,,,,,,,,,,,
2000-07-31,20.71,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,20.58,,,,,,,,,,,,,,,,,,,,,,
2000-08-02,20.66,,,,,,,,,,,,,,,,,,,,,,
2000-08-03,20.49,,,,,,,,,,,,,,,,,,,,,,
2000-08-04,20.45,,,,,,,,,,,,,,,,,,,,,,
2000-08-07,20.33,,,,,,,,,,,,,,,,,,,,,,
2000-08-08,20.87,,,,,,,,,,,,,,,,,,,,,,
2000-08-09,20.86,,,,,,,,,,,,,,,,,,,,,,
2000-08-10,20.09,,,,,,,,,,,,,,,,,,,,,,
2000-08-11,19.74,,,,,,,,,,,,,,,,,,,,,,
2000-08-14,19.85,,,,,,,,,,,,,,,,,,,,,,
2000-08-16,20.35,,,,,,,,,,,,,,,,,,,,,,
2000-08-17,20.2,,,,,,,,,,,,,,,,,,,,,,
2000-08-18,20.45,,,,,,,,,,,,,,,,,,,,,,
2000-08-21,20.62,,,,,,,,,,,,,,,,,,,,,,
2000-08-22,20.78,,,,,,,,,,,,,,,,,,,,,,
2000-08-23,20.87,,,,,,,,,,,,,,,,,,,,,,
2000-08-24,20.89,,,,,,,,,,,,,,,,,,,,,,
2000-08-25,20.8,,,,,,,,,,,,,,,,,,,,,,
2000-08-28,20.63,,,,,,,,,,,,,,,,,,,,,,
2000-08-29,20.58,,,,,,,,,,,,,,,,,,,,,,
2000-08-30,20.7,,,,,,,,,,,,,,,,,,,,,,
2000-08-31,20.97,,,,,,,,,,,,,,,,,,,,,,
2000-09-04,21.69,,,,,,,,,,,,,,,,,,,,,,
2000-09-05,21.7,,,,,,,,,,,,,,,,,,,,,,
2000-09-06,21.81,,,,,,,,,,,,,,,,,,,,,,
2000-09-07,21.88,,,,,,,,,,,,,,,,,,,,,,
2000-09-08,22.03,,,,,,,,,,,,,,,,,,,,,,
2000-09-11,22.13,,,,,,,,,,,,,,,,,,,,,,
2000-09-12,22.3,,,,,,,,,,,,,,,,,,,,,,
2000-09-13,22.13,,,,,,,,,,,,,,,,,,,,,,
2000-09-14,21.96,,,,,,,,,,,,,,,,,,,,,,
2000-09-15,21.53,,,,,,,,,,,,,,,,,,,,,,
2000-09-18,20.58,,,,,,,,,,,,,,,,,,,,,,
2000-09-19,20.01,,,,,,,,,,,,,,,,,,,,,,
2000-09-20,20.4,,,,,,,,,,,,,,,,,,,,,,
2000-09-21,20.21,,,,,,,,,,,,,,,,,,,,,,
2000-09-22,19.24,,,,,,,,,,,,,,,,,,,,,,
2000-09-25,19.64,,,,,,,,,,,,,,,,,,,,,,
