date,nifty200,daily_return,volatility_21_days,volatility_252_days,volatility_ratio,Group,mean_Volatility
2020-08-27,6007.65,0.001275,0.007055789263770154,0.018805398999423472,0.3752001892640761,576,0.3752001892640761
2020-08-28,6048.9,0.006866246,0.006799133190977837,0.018779760303983047,0.3620457919016033,577,0.44060735655630606
2020-08-31,5887.55,-0.026674271,0.009344359963287426,0.018850759411314214,0.49570204358339787,577,0.44060735655630606
2020-09-01,5934.1,0.007906515,0.008798956254691062,0.018815010458311094,0.4676561979163996,577,0.44060735655630606
2020-09-02,5977.6,0.007330513,0.008290657356258599,0.01881716312800272,0.4405901835394558,577,0.44060735655630606
2020-09-03,5984.5,0.001154309,0.008289272599048231,0.018813286877085833,0.44060735655630606,577,0.44060735655630606
2020-09-04,5882.9,-0.016977191,0.009101249372189263,0.01883900745320657,0.48310662835053697,578,0.5097595591115848
2020-09-07,5883.3,6.8e-05,0.009093220350956454,0.01883289583919804,0.4828370755404587,578,0.5097595591115848
2020-09-08,5854.15,-0.004954702,0.00905144363972745,0.018790698432843218,0.4816980950482892,578,0.5097595591115848
2020-09-09,5833.8,-0.003476166,0.009065164004973507,0.01879105839064645,0.48241902167074513,578,0.5097595591115848
2020-09-10,5916.75,0.014218862,0.009589244112784227,0.018811308079237355,0.5097595591115848,578,0.5097595591115848
2020-09-11,5933.45,0.002822495,0.009598688751442827,0.01880524454009234,0.5104261596268342,579,0.490340693681051
2020-09-14,5940.05,0.001112338,0.0092637829684881,0.018802259327124173,0.49269520259855953,579,0.490340693681051
2020-09-15,5986.7,0.007853469,0.009330535991376211,0.01880676457386618,0.4961265907662764,579,0.490340693681051
2020-09-16,6025.4,0.006464329,0.009072998502098943,0.018808395865072772,0.4823908730540662,579,0.490340693681051
2020-09-17,5984.35,-0.006812826,0.009222247944573986,0.01880783721077967,0.490340693681051,579,0.490340693681051
2020-09-18,5981.2,-0.000526373,0.009116893499678699,0.018804438179560058,0.4848266889243481,580,0.6422888217629693
2020-09-21,5832.1,-0.024928108,0.010639107049542131,0.018839523121389153,0.5647227363978863,580,0.6422888217629693
2020-09-22,5775.3,-0.009739202,0.010657428633425366,0.018849604583652806,0.565392689598802,580,0.6422888217629693
2020-09-23,5762.7,-0.002181705,0.01064498616002958,0.018833052468851166,0.5652289334209525,580,0.6422888217629693
2020-09-24,5601.1,-0.028042411,0.011950660095557808,0.01860636475465252,0.6422888217629693,580,0.6422888217629693
2020-09-25,5734.95,0.023897092,0.013315988320502724,0.01858804128873245,0.7163739370739671,581,0.6893714584399054
2020-09-28,5840.4,0.018387257,0.01392819732121281,0.018623898392669393,0.7478669088258733,581,0.6893714584399054
2020-09-29,5834.2,-0.001061571,0.012686608656467322,0.018603135528956087,0.6819607714366434,581,0.6893714584399054
2020-09-30,5848.9,0.002519626,0.012565059414255137,0.018590702136560014,0.6758786904312238,581,0.6893714584399054
2020-10-01,5927.6,0.013455522,0.012827024609831237,0.01860684026411489,0.6893714584399054,581,0.6893714584399054
2020-10-05,5963.15,0.005997368,0.012898221343016634,0.018607047980399118,0.6931900942376121,582,0.6701016808240406
2020-10-06,6033.45,0.011789071,0.012537644911443418,0.018607984400243003,0.6737776989580714,582,0.6701016808240406
2020-10-07,6058.7,0.004185002,0.012549941587314135,0.018607433367826727,0.6744584994195746,582,0.6701016808240406
2020-10-08,6101.05,0.006989948,0.012514582016783364,0.018595747695817157,0.6729808460241874,582,0.6701016808240406
2020-10-09,6128.65,0.004523811,0.012459785063451011,0.018593872273427077,0.6701016808240406,582,0.6701016808240406
2020-10-12,6128.5,-2.45e-05,0.012169978933901378,0.018567733541573043,0.6554369657800652,583,0.7099444021116024
2020-10-13,6123.8,-0.000766909,0.012179316692286071,0.018561398183711757,0.6561637529533646,583,0.7099444021116024
2020-10-14,6142.45,0.003045495,0.012182943931059577,0.01855937051680961,0.6564308805638224,583,0.7099444021116024
2020-10-15,6003.4,-0.022637547,0.013184650205133895,0.01861486864910261,0.708285965035241,583,0.7099444021116024
2020-10-16,6049.5,0.007678982,0.01321605946141042,0.018615625987192266,0.7099444021116024,583,0.7099444021116024
2020-10-19,6104.45,0.009083395,0.013245080392145718,0.018622918527993405,0.7112247402165303,584,0.6170203179852896
2020-10-20,6119.55,0.002473605,0.013243625175584186,0.01860903258990557,0.7116772519796737,584,0.6170203179852896
2020-10-21,6135.85,0.002663595,0.011816395864190539,0.01860178750986264,0.6352290530103897,584,0.6170203179852896
2020-10-22,6123.1,-0.002077952,0.011534950143585765,0.01860025608440994,0.620150071657021,584,0.6170203179852896
2020-10-23,6144.05,0.00342147,0.011477346858434179,0.01860124622137291,0.6170203179852896,584,0.6170203179852896
2020-10-26,6058.05,-0.013997282,0.009866934644023337,0.018622347360279255,0.5298437652961584,585,0.4777677399511051
2020-10-27,6125.0,0.011051411,0.008909682280596099,0.018634760658477814,0.4781216375077333,585,0.4777677399511051
2020-10-28,6048.75,-0.01244898,0.008817986978929783,0.01865015020972651,0.4728105071417058,585,0.4777677399511051
2020-10-29,6025.55,-0.003835503,0.008882089286861981,0.01863306735016821,0.4766842259485419,585,0.4777677399511051
2020-10-30,6017.65,-0.001311084,0.008901050284221088,0.01863049666168759,0.4777677399511051,585,0.4777677399511051
2020-11-02,6033.5,0.002633919,0.008470652092088683,0.018629519846385674,0.4546897698886254,586,0.49974252057623875
2020-11-03,6099.85,0.010996934,0.008689171106930868,0.018642031780162816,0.46610644211952834,586,0.49974252057623875
2020-11-04,6146.9,0.007713304,0.008481901809851958,0.01864729257820136,0.4548596947402048,586,0.49974252057623875
2020-11-05,6255.0,0.0175861,0.009212348957485756,0.018677992283958084,0.49321944336586654,586,0.49974252057623875
2020-11-06,6319.65,0.010335731,0.009339011780058889,0.01868764692924337,0.49974252057623875,586,0.49974252057623875
2020-11-09,6415.1,0.015103685,0.009773142808577554,0.018709273517520872,0.5223689096973859,587,0.43526031035426455
2020-11-10,6479.8,0.010085579,0.009905007047718462,0.018711052683189386,0.5293666377529598,587,0.43526031035426455
2020-11-11,6538.0,0.008981759,0.009962449101993787,0.018718801400943542,0.53221618674215,587,0.43526031035426455
2020-11-12,6523.4,-0.002233099,0.010032066656204935,0.018715014411645917,0.5360437579979748,587,0.43526031035426455
2020-11-13,6548.4,0.003832357,0.008146342385898507,0.01871602393351253,0.43526031035426455,587,0.43526031035426455
2020-11-14,6579.6,0.004764523,0.008108453981823548,0.018717763221257785,0.43319567012231286,588,0.4651389308364236
2020-11-17,6631.45,0.007880418,0.008075217305259718,0.018723566367375148,0.43128628097958777,588,0.4651389308364236
2020-11-18,6670.35,0.005865987,0.008077466551361448,0.018725681027988213,0.43135769210681935,588,0.4651389308364236
2020-11-19,6593.7,-0.011491151,0.008768180719587494,0.018738963053746876,0.46791173526724505,588,0.4651389308364236
2020-11-20,6644.4,0.007689158,0.008718112591483551,0.01874302926183031,0.4651389308364236,588,0.4651389308364236
2020-11-23,6688.0,0.006561917,0.008735788472973075,0.01874498831513593,0.46603328452966963,589,0.4157720442135299
2020-11-24,6748.9,0.009105861,0.007743209011308557,0.018735691336660767,0.41328653809305427,589,0.4157720442135299
2020-11-25,6646.0,-0.015246929,0.008801195060218326,0.018759860774512114,0.4691503399735235,589,0.4157720442135299
2020-11-26,6710.65,0.009727656,0.008034481348782287,0.018766042197913474,0.4281393627941224,589,0.4157720442135299
2020-11-27,6727.7,0.002540737,0.007801465292707455,0.018763804352129123,0.4157720442135299,589,0.4157720442135299
2020-12-01,6801.3,0.010939846,0.0077408585455757675,0.01876954815077768,0.4124158175462013,590,0.3839904173722963
2020-12-02,6813.65,0.001815829,0.0077600198401449804,0.01876937033136865,0.413440605792508,590,0.3839904173722963
2020-12-03,6835.05,0.003140754,0.007687809811346365,0.01876615730366373,0.409663506862189,590,0.3839904173722963
2020-12-04,6890.55,0.008119911,0.007694272931432971,0.018771013220005288,0.4099018439363074,590,0.3839904173722963
2020-12-07,6945.8,0.008018228,0.007209669485012198,0.018775649492372863,0.3839904173722963,590,0.3839904173722963
2020-12-08,6960.75,0.00215238,0.0071290131485209915,0.018765903170112914,0.3798918220933193,591,0.35264374673357995
2020-12-09,7020.15,0.008533563,0.006782400821493217,0.01877241546168696,0.36129611745145795,591,0.35264374673357995
2020-12-10,6996.45,-0.003375996,0.006846386385502736,0.018766381817978257,0.3648218634741767,591,0.35264374673357995
2020-12-11,7014.4,0.002565587,0.006740399697960442,0.018764946136937913,0.35920165444505503,591,0.35264374673357995
2020-12-14,7040.3,0.003692404,0.006616718940197712,0.018763182394374342,0.35264374673357995,591,0.35264374673357995
2020-12-15,7046.15,0.000830931,0.0066451359266390935,0.01875462793319601,0.3543197951091896,592,0.5309617843796104
2020-12-16,7105.75,0.00845852,0.006728216984607933,0.018759275317894102,0.35866081554813684,592,0.5309617843796104
2020-12-17,7123.75,0.00253316,0.006662632015685748,0.018753561126793154,0.3552728983385916,592,0.5309617843796104
2020-12-18,7130.9,0.001003685,0.006658487701826839,0.018752577230185235,0.355070538843533,592,0.5309617843796104
2020-12-21,6890.6,-0.033698411,0.010022807759523697,0.018876702720205387,0.5309617843796104,592,0.5309617843796104
2020-12-22,6963.65,0.010601399,0.01012295645253241,0.01888724834450051,0.5359677740182814,593,0.5007849455347523
