Date,Close,3EMA_Close,6EMA_Close,9EMA_Close,EMA_Actual Momentum
2021-12-20,220.00,235.88,241.82,244.40,-1.00
2021-12-21,223.08,235.50,241.54,244.19,-1.00
2021-12-22,223.91,235.16,241.27,243.98,-1.00
2021-12-23,225.43,234.87,241.04,243.80,-1.00
2021-12-24,225.34,234.58,240.80,243.61,-1.00
2021-12-27,225.52,234.31,240.57,243.43,-1.00
2021-12-28,226.30,234.07,240.36,243.26,-1.00
2021-12-29,224.34,233.78,240.11,243.07,-1.00
2021-12-30,225.67,233.54,239.90,242.89,-1.00
2021-12-31,228.18,233.38,239.72,242.75,-1.00
2022-01-03,228.00,233.22,239.55,242.60,-1.00
2022-01-04,228.14,233.07,239.37,242.45,-1.00
2022-01-05,224.34,232.81,239.15,242.27,-1.00
2022-01-06,224.63,232.56,238.93,242.09,-1.00
2022-01-07,226.30,232.38,238.74,241.93,-1.00
2022-01-10,228.08,232.25,238.58,241.79,-1.00
2022-01-11,228.97,232.15,238.43,241.67,-1.00
2022-01-12,234.08,232.21,238.37,241.59,-1.00
2022-01-13,232.91,232.23,238.29,241.50,-1.00
2022-01-14,232.63,232.24,238.20,241.41,-1.00
2022-01-17,232.10,232.24,238.11,241.32,-1.00
2022-01-18,230.46,232.18,238.00,241.21,-1.00
2022-01-19,229.69,232.11,237.87,241.09,-1.00
2022-01-20,234.94,232.19,237.83,241.03,0.00
2022-01-21,233.09,232.22,237.75,240.95,0.00
2022-01-24,230.95,232.18,237.65,240.85,0.00
2022-01-25,226.93,232.03,237.49,240.71,-1.00
2022-01-26,226.32,231.85,237.32,240.57,-1.00
2022-01-27,221.60,231.55,237.09,240.38,-1.00
2022-01-28,219.88,231.20,236.83,240.17,-1.00
2022-01-31,223.10,230.96,236.62,240.00,-1.00
2022-02-01,223.42,230.73,236.42,239.83,-1.00
2022-02-02,223.04,230.50,236.22,239.66,-1.00
2022-02-03,222.65,230.27,236.02,239.49,-1.00
2022-02-04,226.51,230.16,235.87,239.36,-1.00
2022-02-07,226.65,230.05,235.74,239.24,-1.00
2022-02-08,225.45,229.92,235.58,239.10,-1.00
2022-02-09,230.02,229.92,235.50,239.01,-1.00
2022-02-10,232.16,229.99,235.45,238.94,-1.00
2022-02-11,230.78,230.01,235.38,238.85,-1.00
2022-02-14,226.92,229.92,235.25,238.73,-1.00
2022-02-15,227.05,229.83,235.13,238.62,-1.00
2022-02-16,230.18,229.84,235.05,238.53,-1.00
2022-02-17,230.80,229.87,234.99,238.45,-1.00
2022-02-18,227.79,229.81,234.88,238.35,-1.00
2022-02-21,225.86,229.69,234.74,238.22,-1.00
2022-02-22,221.52,229.45,234.55,238.05,-1.00
2022-02-23,221.90,229.22,234.36,237.89,-1.00
2022-02-24,215.33,228.81,234.07,237.67,-1.00
2022-02-25,215.58,228.41,233.79,237.44,-1.00
2022-02-28,215.58,228.03,233.52,237.22,-1.00
2022-03-01,217.05,227.70,233.27,237.02,-1.00
2022-03-02,214.57,227.31,232.99,236.80,-1.00
2022-03-03,213.92,226.91,232.70,236.57,-1.00
2022-03-04,208.79,226.37,232.34,236.29,-1.00
2022-03-07,201.02,225.61,231.87,235.93,-1.00
2022-03-08,197.04,224.76,231.35,235.54,-1.00
2022-03-09,197.33,223.94,230.84,235.16,-1.00
2022-03-10,199.70,223.22,230.37,234.80,-1.00
2022-03-11,194.89,222.37,229.83,234.40,-1.00
2022-03-14,185.77,221.28,229.17,233.91,-1.00
2022-03-15,177.11,219.96,228.39,233.34,-1.00
2022-03-16,191.82,219.12,227.84,232.92,-1.00
2022-03-17,202.12,218.61,227.45,232.61,-1.00
2022-03-18,202.30,218.13,227.07,232.31,-1.00
2022-03-21,200.59,217.60,226.68,231.99,-1.00
2022-03-22,204.89,217.22,226.35,231.72,-1.00
2022-03-23,207.17,216.92,226.06,231.47,-1.00
2022-03-24,205.25,216.57,225.75,231.21,-1.00
2022-03-25,200.95,216.11,225.37,230.90,-1.00
2022-03-28,201.30,215.67,225.01,230.61,-1.00
2022-03-29,203.15,215.29,224.68,230.33,-1.00
2022-03-30,206.53,215.03,224.41,230.09,-1.00
2022-03-31,203.76,214.69,224.10,229.83,-1.00
2022-04-01,204.40,214.39,223.80,229.57,-1.00
2022-04-04,208.19,214.20,223.57,229.36,-1.00
2022-04-05,207.58,214.00,223.33,229.14,-1.00
2022-04-06,204.08,213.71,223.04,228.88,-1.00
2022-04-07,200.10,213.30,222.69,228.60,-1.00
2022-04-08,200.26,212.91,222.36,228.31,-1.00
2022-04-11,194.47,212.36,221.94,227.97,-1.00
2022-04-12,195.31,211.85,221.54,227.64,-1.00
2022-04-13,197.42,211.42,221.17,227.34,-1.00
2022-04-14,198.02,211.02,220.83,227.04,-1.00
2022-04-15,197.01,210.60,220.47,226.74,-1.00
2022-04-18,195.98,210.17,220.10,226.43,-1.00
2022-04-19,193.31,209.66,219.70,226.10,-1.00
2022-04-20,192.15,209.14,219.28,225.76,-1.00
2022-04-21,188.98,208.54,218.83,225.39,-1.00
2022-04-22,188.24,207.93,218.37,225.02,-1.00
2022-04-25,181.81,207.15,217.82,224.58,-1.00
2022-04-26,182.56,206.42,217.29,224.16,-1.00
2022-04-27,182.45,205.70,216.76,223.74,-1.00
2022-04-28,184.75,205.08,216.28,223.35,-1.00
2022-04-29,191.55,204.67,215.91,223.03,-1.00
2022-05-02,191.69,204.29,215.55,222.71,-1.00
2022-05-03,190.92,203.89,215.18,222.39,-1.00
2022-05-04,189.73,203.47,214.79,222.07,-1.00
2022-05-05,188.87,203.03,214.40,221.73,-1.00
2022-05-06,182.11,202.41,213.92,221.33,-1.00
2022-05-09,179.87,201.73,213.41,220.92,-1.00
2022-05-10,178.34,201.03,212.88,220.49,-1.00
2022-05-11,179.42,200.39,212.37,220.08,-1.00
2022-05-12,175.42,199.64,211.82,219.63,-1.00
2022-05-13,179.52,199.04,211.33,219.22,-1.00
2022-05-16,180.04,198.48,210.86,218.83,-1.00
2022-05-17,185.29,198.08,210.48,218.49,-1.00
2022-05-18,186.10,197.72,210.11,218.17,-1.00
2022-05-19,182.41,197.27,209.70,217.81,-1.00
2022-05-20,186.59,196.95,209.35,217.49,-1.00
2022-05-23,185.15,196.60,208.98,217.17,-1.00
2022-05-24,181.09,196.13,208.56,216.81,-1.00
2022-05-25,181.95,195.71,208.16,216.46,-1.00
2022-05-26,181.97,195.30,207.77,216.11,-1.00
2022-05-27,186.87,195.05,207.46,215.82,-1.00
2022-05-30,191.11,194.93,207.21,215.57,-1.00
2022-05-31,195.01,194.93,207.03,215.36,-1.00
2022-06-01,193.07,194.88,206.82,215.14,-1.00
2022-06-02,191.66,194.78,206.59,214.90,-1.00
2022-06-03,191.55,194.69,206.36,214.67,-1.00
2022-06-06,195.52,194.71,206.20,214.47,-1.00
2022-06-07,194.97,194.72,206.03,214.28,-1.00
2022-06-08,199.85,194.87,205.94,214.13,0.00
2022-06-09,198.17,194.97,205.82,213.97,0.00
2022-06-10,197.54,195.05,205.70,213.81,0.00
2022-06-13,190.58,194.91,205.47,213.57,-1.00
2022-06-14,191.17,194.80,205.25,213.35,-1.00
2022-06-15,192.65,194.74,205.06,213.14,-1.00
2022-06-16,189.22,194.57,204.83,212.90,-1.00
2022-06-17,190.08,194.44,204.60,212.67,-1.00
2022-06-20,190.18,194.31,204.39,212.45,-1.00
2022-06-21,193.88,194.30,204.23,212.26,-1.00
2022-06-22,188.99,194.14,204.00,212.02,-1.00
2022-06-23,190.60,194.03,203.80,211.81,-1.00
2022-06-24,194.38,194.04,203.66,211.63,-1.00
2022-06-27,198.03,194.16,203.57,211.50,0.00
2022-06-28,198.37,194.29,203.49,211.37,0.00
2022-06-29,194.93,194.31,203.37,211.20,0.00
2022-06-30,192.87,194.27,203.21,211.02,0.00
2022-07-01,191.16,194.17,203.03,210.82,-1.00
2022-07-04,190.54,194.06,202.84,210.61,-1.00
2022-07-05,191.20,193.98,202.66,210.42,-1.00
2022-07-06,188.10,193.80,202.44,210.19,-1.00
2022-07-07,190.23,193.70,202.26,209.99,-1.00
2022-07-08,191.29,193.62,202.10,209.80,-1.00
2022-07-11,186.25,193.40,201.86,209.57,-1.00
2022-07-12,182.95,193.09,201.57,209.30,-1.00
2022-07-13,184.45,192.83,201.32,209.05,-1.00
2022-07-14,184.48,192.58,201.06,208.80,-1.00
2022-07-15,181.95,192.27,200.78,208.53,-1.00
2022-07-18,185.42,192.06,200.54,208.30,-1.00
2022-07-19,184.15,191.83,200.30,208.06,-1.00
2022-07-20,185.67,191.64,200.08,207.83,-1.00
2022-07-21,185.03,191.45,199.85,207.60,-1.00
2022-07-22,184.70,191.24,199.62,207.37,-1.00
2022-07-25,183.84,191.02,199.39,207.14,-1.00
2022-07-26,185.06,190.85,199.17,206.92,-1.00
2022-07-27,184.03,190.64,198.94,206.69,-1.00
2022-07-28,183.82,190.44,198.72,206.46,-1.00
2022-07-29,180.79,190.15,198.45,206.20,-1.00
2022-08-01,179.75,189.84,198.17,205.93,-1.00
2022-08-02,176.19,189.43,197.83,205.63,-1.00
2022-08-03,177.13,189.07,197.52,205.35,-1.00
2022-08-04,179.55,188.78,197.25,205.09,-1.00
2022-08-05,181.20,188.55,197.01,204.85,-1.00
2022-08-08,179.66,188.29,196.75,204.59,-1.00
2022-08-09,179.26,188.02,196.49,204.34,-1.00
2022-08-10,176.63,187.68,196.19,204.06,-1.00
